0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:28:05 +0530] "GET /Task1/1.jpg HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:28:06 +0530] "GET /Task1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:28:06 +0530] "GET /Task1/1.jpg HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:28:06 +0530] "GET /Task1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:28:06 +0530] "GET /Task1/1.jpg HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:28:06 +0530] "GET /Task1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:28:06 +0530] "GET /Task1/1.jpg HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:28:06 +0530] "GET /Task1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:28:06 +0530] "GET /Task1/1.jpg HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:28:06 +0530] "GET /Task1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:28:06 +0530] "GET /Task1/1.jpg HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:28:06 +0530] "GET /Task1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:28:06 +0530] "GET /Task1/1.jpg HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:28:07 +0530] "GET /Task1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:28:07 +0530] "GET /Task1/1.jpg HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:28:07 +0530] "GET /Task1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:28:07 +0530] "GET /Task1/1.jpg HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:28:07 +0530] "GET /Task1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:28:07 +0530] "GET /Task1/1.jpg HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:28:07 +0530] "GET /Task1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:28:07 +0530] "GET /Task1/1.jpg HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:28:07 +0530] "GET /Task1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:28:07 +0530] "GET /Task1/1.jpg HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:28:07 +0530] "GET /Task1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:28:07 +0530] "GET /Task1/1.jpg HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:28:08 +0530] "GET /Task1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:28:08 +0530] "GET /Task1/1.jpg HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:28:08 +0530] "GET /Task1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:28:08 +0530] "GET /Task1/1.jpg HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:28:08 +0530] "GET /Task1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:28:08 +0530] "GET /Task1/1.jpg HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:28:08 +0530] "GET /Task1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:28:08 +0530] "GET /Task1/1.jpg HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:28:08 +0530] "GET /Task1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:28:08 +0530] "GET /Task1/1.jpg HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:28:08 +0530] "GET /Task1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:28:08 +0530] "GET /Task1/1.jpg HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:28:08 +0530] "GET /Task1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:28:08 +0530] "GET /Task1/1.jpg HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:28:09 +0530] "GET /Task1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:28:09 +0530] "GET /Task1/1.jpg HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:28:09 +0530] "GET /Task1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:28:09 +0530] "GET /Task1/1.jpg HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:28:09 +0530] "GET /Task1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:28:09 +0530] "GET /Task1/1.jpg HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:28:09 +0530] "GET /Task1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2022:10:28:09 +0530] "GET /Task1/1.jpg HTTP/1.1" 404 766
